ID,datetime,CH4,CO2,OH,Cnt
2,2022-06-22 10:46:48,67.70,12.90,4.00,"93
"
2,2022-06-22 10:48:28,67.50,12.80,4.00,"93
"
2,2022-06-22 10:50:09,67.40,12.80,4.00,"93
"
2,2022-06-22 10:51:49,67.50,12.90,4.00,"93
"
2,2022-06-22 10:53:30,67.30,12.80,4.00,"93
"
2,2022-06-22 10:55:10,67.00,12.80,4.00,"93
"
2,2022-06-22 10:56:51,67.00,12.80,4.00,"93
"
2,2022-06-22 10:58:31,67.00,12.80,4.00,"93
"
2,2022-06-22 11:00:11,66.80,12.80,4.00,"93
"
2,2022-06-22 11:01:52,66.80,12.80,4.00,"93
"
2,2022-06-22 11:03:32,66.70,12.80,4.00,"93
"
2,2022-06-22 11:05:13,67.10,12.80,4.00,"93
"
2,2022-06-22 11:06:53,67.00,12.90,4.00,"93
"
2,2022-06-22 11:08:34,66.90,12.80,4.00,"93
"
2,2022-06-22 11:10:14,67.00,12.80,4.00,"93
"
2,2022-06-22 11:11:55,67.30,13.00,4.00,"93
"
2,2022-06-22 11:13:35,67.20,13.00,4.00,"93
"
2,2022-06-22 11:15:15,67.20,13.00,4.00,"93
"
2,2022-06-22 11:16:56,67.10,13.00,4.00,"93
"
2,2022-06-22 11:18:36,67.20,13.00,4.00,"93
"
2,2022-06-22 11:20:17,67.20,13.00,4.00,"93
"
2,2022-06-23 09:54:21,69.70,11.80,4.00,"1
"
2,2022-06-23 09:56:02,69.70,11.80,4.00,"1
"
2,2022-06-23 09:57:42,69.80,11.80,4.00,"1
"
2,2022-06-23 09:59:22,69.70,11.80,4.00,"1
"
2,2022-06-23 10:01:03,69.60,11.70,4.00,"1
"
2,2022-06-23 10:02:43,69.70,11.70,4.00,"1
"
2,2022-06-23 10:04:24,69.70,11.70,4.00,"2
"
2,2022-06-23 10:06:04,69.50,11.70,4.00,"2
"
2,2022-06-23 10:07:45,69.70,11.70,4.00,"2
"
2,2022-06-23 10:09:25,69.60,11.70,-0.00,"2
"
2,2022-06-23 10:11:06,69.80,11.70,4.00,"2
"
2,2022-06-23 10:12:46,69.50,11.70,4.00,"2
"
2,2022-06-23 10:14:26,69.50,11.70,4.00,"2
"
2,2022-06-23 10:16:07,69.80,11.70,4.00,"2
"
2,2022-06-23 10:17:47,69.70,11.70,4.00,"2
"
2,2022-06-23 10:19:28,69.90,11.80,4.00,"2
"
2,2022-06-23 10:21:08,69.60,11.70,4.00,"2
"
2,2022-06-23 10:22:49,69.70,11.70,4.00,"2
"
2,2022-06-23 10:24:29,69.60,11.70,4.00,"2
"
2,2022-06-23 10:26:10,69.70,11.70,4.00,"2
"
2,2022-06-23 10:27:50,69.60,11.70,4.00,"3
"
2,2022-06-23 10:29:30,69.80,11.70,0.00,"3
"
2,2022-06-23 10:31:11,69.80,11.70,4.00,"3
"
