tank_id,date,Methane,Combustables,volume,volume_Combustable_biogas(ml),daily_energy_production(kWh),pH,COD,BOD,Total N,TS,VS
1,2021-08-31,62.492592592592565,0.6649259259259256,1645.0,1093.8031481481476,0.01148493305555555,0,0,0,0,0,0
1,2021-09-01,59.978147268408634,0.6397814726840864,6825.0,4366.50855106889,0.045848339786223345,0,0,0,0,0,0
1,2021-09-02,55.00125628140709,0.5900125628140709,5005.0,2953.0128768844247,0.031006635207286463,0,0,0,0,0,0
1,2021-09-03,55.94000000000001,0.5994000000000002,1575.0,944.0550000000003,0.009912577500000004,0,0,0,0,0,0
2,2021-08-31,62.181651376146796,0.6618165137614679,2695.0,1783.595504587156,0.018727752798165142,0,0,0,0,0,0
2,2021-09-01,59.86289156626506,0.6386289156626507,11445.0,7309.107939759037,0.0767456333674699,0,0,0,0,0,0
2,2021-09-02,55.82481012658225,0.5982481012658225,10920.0,6532.869265822782,0.06859512729113922,0,0,0,0,0,0
2,2021-09-03,55.61532467532471,0.5961532467532471,13685.0,8158.357181818186,0.08566275040909095,0,0,0,0,0,0
2,2021-09-04,59.40527777777781,0.6340527777777781,16905.0,10718.662208333339,0.11254595318750006,0,0,0,0,0,0
2,2021-09-05,64.64377682403433,0.6864377682403433,30695.0,21070.207296137338,0.22123717660944206,0,0,0,0,0,0
2,2021-09-06,69.05651105651101,0.7305651105651101,22890.0,16722.63538083537,0.1755876714987714,0,0,0,0,0,0
2,2021-09-07,71.37384987893452,0.7537384987893452,21000.0,15828.508474576249,0.16619933898305064,0,0,0,0,0,0
2,2021-09-08,68.64065420560742,0.7264065420560741,11340.0,8237.450186915881,0.08649322696261676,0,0,0,0,0,0
2,2021-10-06,63.131144067796605,0.6713114406779661,35.0,23.495900423728813,0.00024670695444915254,0,0,0,0,0,0
3,2021-09-01,38.47945945945948,0.4247945945945948,36.0,15.292605405405412,0.00016057235675675686,0,0,0,0,0,0
3,2021-09-02,34.685638297872345,0.38685638297872343,360.0,139.26829787234044,0.0014623171276595746,0,0,0,0,0,0
3,2021-10-06,77.08126582278486,0.8108126582278485,36.0,29.189255696202547,0.00030648718481012676,0,0,0,0,0,0
